,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
159,500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,2000000,Ready_to_move,Resale,Builder_Floor,4000.0
435,1500.0,3,3.0,Semi-Furnished,Patel Nagar West,2.0,19500000,Ready_to_move,Resale,Builder_Floor,8421.0
554,1300.0,3,3.0,Semi-Furnished,Saket,3.0,22500000,Ready_to_move,Resale,Builder_Floor,6944.0
1013,750.0,3,2.0,Semi-Furnished,"Batla House Project, Batla House, Okhla",1.0,2400000,Ready_to_move,Resale,Builder_Floor,2778.0
935,400.0,1,1.0,Unfurnished,"Dilshad Colony, Dilshad Garden",1.0,3600000,Ready_to_move,Resale,Builder_Floor,7666.0
500,1200.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1.0,15500000,Ready_to_move,Resale,Apartment,24718.0
1089,1600.0,3,4.0,Unfurnished,Sheikh Sarai Phase 1,1.0,18800000,Ready_to_move,Resale,Apartment,10556.0
298,3000.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",4.0,65000000,Ready_to_move,New_Property,Builder_Floor,20930.0
1184,900.0,2,2.0,Semi-Furnished,"Dda Janta Flats, Kalkaji",2.0,6500000,Ready_to_move,Resale,Apartment,
438,2306.0,3,3.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,57000000,Almost_ready,New_Property,Apartment,24718.0
1059,900.0,2,2.0,Semi-Furnished,"New Moti Nagar, Kirti Nagar",1.0,6700000,Ready_to_move,Resale,Apartment,12151.0
311,750.0,2,2.0,Unfurnished,"Balbir Nagar, Shahdara",1.0,4500000,Ready_to_move,Resale,Builder_Floor,6526.0
1202,6000.0,5,5.0,Semi-Furnished,"Hauz Khas Apartment, Hauz Khas Enclave, Hauz Khas",3.0,180000000,Ready_to_move,New_Property,Apartment,30000.0
630,1650.0,3,3.0,Semi-Furnished,"Rajasthan Apartment, Aashirwaad Chowk, Dwarka",1.0,15500000,Ready_to_move,Resale,Apartment,
1218,1600.0,3,4.0,Semi-Furnished,Hauz Khas,2.0,27500000,Ready_to_move,Resale,Builder_Floor,18055.0
1103,1500.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,22500000,Ready_to_move,Resale,Builder_Floor,65714.0
446,405.0,2,1.0,Semi-Furnished,Patel Nagar West,1.0,3950000,Ready_to_move,Resale,Apartment,1667.0
270,2650.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",2.0,75000000,Ready_to_move,New_Property,Builder_Floor,
529,50.0,2,1.0,Semi-Furnished,"Shastri Park, Shahdara",1.0,1950000,Ready_to_move,New_Property,Apartment,6667.0
915,900.0,2,3.0,Semi-Furnished,"Malviya Nagar carpet area 100 sqyrd status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 2 Open bathroom 3 balcony 2 ownership Freehold It's a Corner three story building, located in South Delhi. Amenities like Market, Schools, Hospitals, Parks, Gyms, Study Centers, Temple are all around. Very Close to Malviya Nagar Metro and Haus Khas Metro Station. Centerlize place to live. Whether you go to Gurgaon or Noida Or to other parts of the city, commuting from here is very easy. read more Contact Owner View Phone No. Share Feedback Owner Rohit",2.0,12500000,Ready_to_move,Resale,Builder_Floor,14888.0
1132,1800.0,3,3.0,Furnished,Punjabi Bagh East,1.0,27500000,Ready_to_move,Resale,Builder_Floor,15278.0
15,660.0,2,2.0,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1.0,4700000,Ready_to_move,New_Property,Builder_Floor,6154.0
1070,2800.0,4,5.0,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2.0,42500000,Ready_to_move,Resale,Apartment,15178.0
1158,1320.0,3,2.0,Unfurnished,Alaknanda,2.0,15600000,Ready_to_move,Resale,Apartment,12500.0
1011,1100.0,3,3.0,Semi-Furnished,"Sukhdev Vihar, Okhla",2.0,12500000,Ready_to_move,Resale,Apartment,2778.0
1049,1240.0,3,3.0,Unfurnished,"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",1.0,18000000,Ready_to_move,Resale,Apartment,
187,1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,11500000,Ready_to_move,New_Property,Apartment,7931.0
997,976.0,2,2.0,Unfurnished,"Godrej South Estate, Okhla Phase 1",2.0,24900000,Almost_ready,New_Property,Apartment,30000.0
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,1.0,46000000,Ready_to_move,New_Property,Builder_Floor,15972.0
874,350.0,1,1.0,Unfurnished,Narela,3.0,2500000,Ready_to_move,Resale,Apartment,7143.0
60,750.0,1,1.0,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2.0,4600000,Ready_to_move,Resale,Apartment,
740,1150.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2.0,13600000,Ready_to_move,Resale,Apartment,
319,850.0,3,2.0,Semi-Furnished,"Gorakh Park West, Shahdara",1.0,4500000,Ready_to_move,Resale,Builder_Floor,6526.0
322,900.0,3,2.0,Semi-Furnished,"Ram Nagar Extension, Shahdara",1.0,6000000,Almost_ready,New_Property,Builder_Floor,3901.0
1229,2097.0,3,3.0,Unfurnished,Chittaranjan Park,,29000000,Ready_to_move,Resale,Builder_Floor,
729,1550.0,4,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2.0,17500000,Ready_to_move,Resale,Apartment,
754,445.0,1,2.0,Semi-Furnished,Sultanpur Extension,1.0,1650000,Ready_to_move,Resale,Apartment,5222.0
692,1800.0,3,3.0,Semi-Furnished,"Gangotri Enclave, Alaknanda",2.0,22500000,Ready_to_move,Resale,Apartment,
